county,log_pop,log_ret,urban_pct,midwest,log_benton_dist,south,kmart,walmart,small_stores,num_kmart,num_walmart,opt_1,opt_2,opt_3
1025.0,2.0309076,8.659138,0.3560371,0.0,5.6440636,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.078904023,0.27667184
1026.0,1.915009,7.590787,0.0,0.0,6.2942812,1.0,0.0,0.0,3.0,0.21327119,0.14342997,0.0,0.059863801,0.25552649
1027.0,2.6103639,7.346059,0.2614927,0.0,6.2997959,1.0,0.0,0.0,2.0,0.03594623,0.03594623,0.0,0.19860767,0.4750739
1028.0,2.9856819,8.649334,0.2185043,0.0,6.314383,1.0,0.0,1.0,3.0,0.20652505,0.13189739,1.0,0.0771812,0.21943656
1029.0,3.5735528,8.517906,0.2988279,0.0,5.7455467,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.042864801,0.25223563
1030.0,3.1472939,8.165637,0.2246289,0.0,6.0965846,1.0,0.0,1.0,3.0,0.090537522,0.090537522,1.0,0.045271279,0.14866301
1031.0,2.3567891,7.585979,0.0,0.0,6.1863687,1.0,0.0,0.0,5.0,0.026535156,0.026535156,0.0,0.056394596,0.19772071
1032.0,3.6138595,7.605493,0.608414,0.0,6.4623773,1.0,0.0,0.0,9.0,0.080222712,0.080222712,0.0,0.25739771,0.27900407
1033.0,2.1823365,7.631076,0.1099857,0.0,6.0531065,1.0,0.0,0.0,0.0,0.097827175,0.097827175,0.0,0.071235048,0.29822411
1035.0,3.5631461,8.000289,0.4793085,0.0,6.4199202,1.0,0.0,1.0,8.0,0.029568237,0.059879402,1.0,0.12791353,0.24148451
1036.0,2.847986,8.256142,0.3611744,0.0,6.3355297,1.0,0.0,1.0,3.0,0.13848674,0.087263807,1.0,0.11366174,0.26397297
1037.0,2.8045112,7.969761,0.1278303,0.0,6.148513,1.0,0.0,0.0,8.0,0.063108687,0.063108687,0.0,0.075412812,0.2115065
1038.0,3.7945674,8.685446,0.5932097,0.0,5.9466063,1.0,1.0,1.0,5.0,0.10157373,0.10157373,0.0,0.12423436,0.18553158
1039.0,2.6878475,8.252586,0.0,0.0,6.2589373,1.0,0.0,0.0,2.0,0.15066863,0.10573123,0.0,0.08462221,0.23387646
1040.0,1.6553668,7.382843,0.0,0.0,5.6855784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11190403,0.32157381
1041.0,3.8331962,8.615047,0.5423375,0.0,5.9348193,1.0,1.0,1.0,6.0,0.081146108,0.081146108,0.0,0.073744317,0.1966764
1042.0,2.5523316,7.323551,0.0,0.0,6.3486497,1.0,0.0,0.0,3.0,0.02006361,0.02006361,0.0,0.13015997,0.29769088
1044.0,3.5854892,8.825422,0.6990343,0.0,6.298827,1.0,0.0,1.0,3.0,0.073572,0.073572,1.0,0.16763051,0.38321299
1045.0,3.1792614,8.689764,0.2632118,0.0,6.4594256,1.0,1.0,1.0,5.0,0.028315049,0.028315049,0.0,0.077055187,0.15111203
1047.0,2.8902606,7.109726,0.0,0.0,6.4445086,1.0,0.0,0.0,2.0,0.062961755,0.092385903,0.0,0.089096468,0.29582956
1048.0,3.449416,8.524158,0.2978456,0.0,6.3608421,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.21650435,0.35487306
1049.0,2.5559086,7.627403,0.2286697,0.0,6.1746757,1.0,0.0,0.0,2.0,0.079610546,0.079610546,0.0,0.045123341,0.25182658
1050.0,3.9140809,8.734818,0.3230579,0.0,6.3356349,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.090722169,0.23012715
1051.0,2.7379326,7.851621,0.2191534,0.0,6.4702665,1.0,0.0,0.0,4.0,0.049720206,0.049720206,0.0,0.17683416,0.21202116
1052.0,2.0765624,7.607707,0.0,0.0,6.3777769,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.084765628,0.21457499
1053.0,2.6011329,7.241738,0.0,0.0,6.4049803,1.0,0.0,0.0,3.0,0.023303361,0.046364117,0.0,0.15275836,0.38282582
1054.0,3.2776729,7.859628,0.0034419,0.0,6.4522065,1.0,0.0,1.0,6.0,0.090156591,0.14563216,1.0,0.066044723,0.16213196
1055.0,2.605205,6.946579,0.0,0.0,6.4228055,1.0,0.0,0.0,2.0,0.03482909,0.03482909,0.0,0.11004041,0.17665754
1056.0,3.0943551,7.602153,0.1965669,0.0,6.2847321,1.0,0.0,1.0,3.0,0.023789969,0.023789969,1.0,0.21237899,0.33540055
1057.0,2.2376198,7.317481,0.0,0.0,5.8080656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04875038,0.1571576
1058.0,3.2624333,8.168369,0.2564633,0.0,6.0192212,1.0,0.0,1.0,3.0,0.14219102,0.14219102,1.0,0.099162291,0.20067952
1059.0,2.077189,8.316349,0.0,0.0,5.8461847,1.0,0.0,0.0,1.0,0.029852865,0.029852865,0.0,0.054444668,0.25807345
1060.0,4.1700703,9.184199,0.7181519,0.0,5.7405884,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.042864801,0.13716651
1061.0,2.8090412,7.585413,0.0,0.0,6.2985093,1.0,0.0,0.0,3.0,0.021664153,0.021664153,0.0,0.17287918,0.35291307
1062.0,2.2774724,7.864639,0.0,0.0,5.9799358,1.0,0.0,0.0,2.0,0.10679163,0.10679163,0.0,0.12991186,0.24279286
1063.0,4.1816073,8.589762,0.5894994,0.0,6.3263623,1.0,1.0,1.0,7.0,0.041241174,0.041241174,0.0,0.12799695,0.28783588
1064.0,2.6324642,7.649588,0.0,0.0,6.4376294,1.0,0.0,0.0,2.0,0.024932971,0.024932971,0.0,0.10436592,0.20849068
1065.0,2.833331,8.041348,0.3187459,0.0,6.2220805,1.0,0.0,1.0,4.0,0.045968092,0.045968092,1.0,0.089166564,0.26299593
1066.0,3.397089,8.226185,0.1378257,0.0,5.8019199,1.0,0.0,1.0,3.0,0.021428032,0.021428032,1.0,0.048669101,0.16103905
1067.0,2.5034012,7.990983,0.0,0.0,6.4849575,1.0,0.0,0.0,3.0,0.06383381,0.06383381,0.0,0.10473837,0.18328514
1068.0,2.8305038,9.110808,0.4910119,0.0,6.3856004,1.0,1.0,1.0,3.0,0.097076971,0.047062227,0.0,0.043239237,0.1335859
1069.0,3.3393574,7.905725,0.1661923,0.0,6.1254326,1.0,0.0,0.0,1.0,0.12855602,0.094196133,0.0,0.0,0.25249484
1070.0,1.7288197,7.171281,0.0,0.0,6.3927966,1.0,0.0,0.0,1.0,0.021240703,0.021240703,0.0,0.12878269,0.160337
1071.0,3.0163189,8.251247,0.4101936,0.0,6.2679031,1.0,0.0,1.0,3.0,0.035608222,0.035608222,1.0,0.077741221,0.26390186
1072.0,2.2512918,7.866427,0.0,0.0,6.1752234,1.0,0.0,0.0,4.0,0.022789711,0.022789711,0.0,0.12466673,0.18534969
1073.0,2.4232972,8.164749,0.0,0.0,6.163776,1.0,0.0,0.0,3.0,0.045494331,0.045494331,0.0,0.072377369,0.18604492
1074.0,3.0324017,8.819125,0.4520262,0.0,6.366494,1.0,0.0,1.0,3.0,0.033156106,0.033156106,1.0,0.025381275,0.074219318
1075.0,2.6026156,8.017465,0.2049756,0.0,6.4232585,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.097920586,0.091185574
1076.0,3.4643912,8.262082,0.3269575,0.0,5.9877931,1.0,1.0,1.0,4.0,0.085517102,0.085517102,0.0,0.065753387,0.20968042
