k,l,r,w
3.3607680649611895,0.34321650225493494,0.02358829314691134,1.4551015757865915
3.2268209405135453,0.3400940980586317,0.02529233561126215,1.4386768377695378
3.19084513020241,0.34392386610689174,0.02652442407195868,1.4271170745822104
3.1945002634275554,0.3467307568276525,0.026911999594207578,1.423533775320489
3.2135257667693997,0.3490215816696604,0.026948004274631635,1.4232021642727
3.239439776031748,0.3500845174977468,0.026670722507332087,1.4257615423305123
3.2686870758857047,0.35061217729383287,0.026256699551247348,1.4296069803540303
3.2998159889416816,0.3509741130946423,0.025791672197659668,1.4339606816759016
3.3315651036914415,0.35118433753479505,0.025300204943587506,1.438602178737555
3.3635107013091785,0.3513270876590795,0.02480286928289452,1.4433418295831646
3.3964944717856698,0.35203434381291865,0.024383423124797146,1.4473730769154036
3.4295513701639644,0.35215482310913715,0.0238803339774913,1.4522497010200317
3.4623637495633637,0.35036818296070094,0.02309975832982876,1.4599072497323198
3.494055429292465,0.35075991174343474,0.02267568546463608,1.4641147494490236
3.527516458601561,0.3522096602803627,0.022390116733939494,1.4669671093000125
3.5658227803800626,0.3542056904537848,0.022119027816455084,1.469689168914182
3.60936861946176,0.3547749803099083,0.021567362306951596,1.4752721545147902
3.6532430593180276,0.3543020797621381,0.020869989439594214,1.482414744067048
3.6949177280609513,0.35369282775102295,0.020196653894686514,1.4894030574034247
3.7357171697344222,0.3533634310888818,0.019587520398797326,1.4958044905612784
3.786643386896887,0.35290794322454666,0.01883571266701882,1.5038116477212862
3.8471493469401405,0.3700462689174773,0.020444687755763705,1.4868181700376335
3.9048096723436947,0.36933633070117944,0.019584534989478347,1.4958360528869594
3.959413171582739,0.3688867754417335,0.01881889624098218,1.5039921152437499
4.011758913786513,0.3684129524994723,0.018094876402162466,1.5118195282495246
4.061714363125374,0.36803925674970317,0.01742848311407602,1.519124815382681
4.109260153765716,0.367818085749255,0.016824358806293127,1.5258328986828331
4.154772778372928,0.3676143541975684,0.016257650081140163,1.5322008818671848
4.198389530879334,0.36743851556376705,0.015726476025365643,1.5382370688541858
4.239949355613279,0.36723905393794115,0.01522443644610079,1.5440033038893046
4.279233987901139,0.3670758323846661,0.014760456721156279,1.5493861201442973
4.316718211025367,0.3669745495483918,0.014331199056893854,1.5544128048533898
4.352353916288093,0.3669104646909986,0.013932854393232677,1.5591182376537998
4.386357381389562,0.3668728483341756,0.013560707582708012,1.5635501407857753
4.415980718819876,0.3668498097283225,0.013241566377864208,1.5673787963906431
4.4405057497259275,0.36682629567096314,0.012979424750101123,1.5705431955192992
4.460507502153828,0.3667347919408581,0.012758195218823334,1.5732275820679402
4.476536308844074,0.3665924191955884,0.012573317574731638,1.575480678160516
4.4894614963288815,0.3665079311523074,0.012428841940257035,1.5772476487220355
4.500164685131136,0.3665173925684751,0.012319740089300965,1.5785856435572718
4.509963260558665,0.36643671508584796,0.012208966012414085,1.5799473767741716
4.519218368035359,0.36636538247670014,0.012105303187444946,1.5812246519561008
4.527984623636353,0.3663221463735534,0.012010490496395965,1.5823953955334833
4.536249784013271,0.3662510878533791,0.011917562087808864,1.5835452116241968
4.543954840982635,0.36619321985563247,0.011832226489581085,1.5846031273972963
4.551142564599056,0.3661448299763108,0.011753531251902719,1.5855804637596
4.557851220186011,0.366104884564452,0.011680915445059198,1.5864837850205813
4.564096271727323,0.36604343733981276,0.011610434848744106,1.587361913281514
4.5698464556945195,0.36601276809181615,0.011548916651639582,1.588129482167895
4.5751868962551105,0.36597620822494814,0.011490884361223766,1.5888545028290406
4.580111357354113,0.36594401558589207,0.011437658700559017,1.5895202812903528
4.584641296957738,0.36591303677764486,0.011388608047423115,1.5901345228851012
4.588703964958462,0.3658426139658131,0.011339362043916362,1.5907518745162628
4.592401387285612,0.36584728347183537,0.01130317976777502,1.5912058827797833
4.595796851176049,0.36582361434264654,0.01126650896018605,1.5916663884871005
4.598889457898794,0.36580608062097997,0.01123364842644936,1.592079360080385
4.601744076484956,0.36579587063928626,0.011204092579692265,1.5924510546882875
4.6043399827479465,0.36578463839684394,0.011176998652148107,1.592792000025772
4.606729629647424,0.3657757962920736,0.011152265814493995,1.5931034109087392
4.608929588454949,0.36576834311224427,0.011129600160969325,1.5933889424591174
4.610924105084955,0.3657427553736824,0.01110672330422062,1.593677278845537
4.612693544457378,0.3657425663587679,0.011089241500898253,1.593897714528434
4.614306895904331,0.3657388049784466,0.011072865038433105,1.594104289336436
4.6157296613181735,0.36572569289847046,0.011057212905912564,1.594301796876296
4.616991167984059,0.3657295299628047,0.011045263698298044,1.594452624559893
4.618132502487816,0.36573494250561706,0.011034698707356766,1.5945860131259662
4.619159055406161,0.3657344045574542,0.01102452801125528,1.594714452800135
4.620068534810615,0.36573321172711853,0.011015431320316862,1.5948293538505443
4.620879417513439,0.365737160064371,0.01100794602414236,1.5949239184901205
4.621599639398529,0.3657367720595851,0.011000815536836087,1.5950140151791214
4.622224446248826,0.365734674834863,0.010994412442946716,1.5950949329970618
4.622765402470988,0.3657383671558381,0.010989554032517862,1.5951563377959195
4.623243300510067,0.3657391066297328,0.010984949422421814,1.5952145409074105
4.623649301013563,0.36574194353772055,0.010981312506713456,1.595260516355324
4.624015831922939,0.3657460354589537,0.010978219742404288,1.5952996159023622
4.624332754727293,0.3657431530465399,0.010974748502706938,1.5953435034064187
4.624587680481886,0.36574302055728897,0.010972228080265697,1.595375371659646
4.624799518845977,0.36574436228279206,0.010970314129823647,1.5953995728545391
4.624984429868741,0.36574581265769696,0.01096867825860727,1.5954202586488728
4.625145347862787,0.365747838024867,0.010967349511606286,1.595437061367786
4.625282767617385,0.36574589048443407,0.01096575823318828,1.5954571845842154
4.625397091089525,0.3657459915411679,0.010964648202571883,1.595471222385751
4.625502897038479,0.36574737136563273,0.010963780640049298,1.5954821940972337
4.625597205080762,0.3657476215823941,0.010962885735468803,1.5954935118122355
4.625670507284991,0.36574581044234045,0.010961941136032188,1.5955054582520618
4.6257316937346005,0.3657457902013039,0.010961337889918155,1.595513087693633
4.62578106786504,0.3657449609946536,0.010960750177551007,1.5955205207725283
4.625824965190832,0.36574597350374805,0.010960444930151123,1.595524381420081
4.625860801607026,0.36574640990167173,0.01096014729060732,1.5955281458714867
4.625889380162106,0.36574576453672936,0.010959786587155754,1.5955327079684447
4.62591302374466,0.36574505525145573,0.010959466398387505,1.5955367576750652
4.625934011294492,0.365744844307171,0.010959234165119236,1.5955396949496272
4.625949248095095,0.3657445871584694,0.010959052652527071,1.5955419907221164
4.625967173330917,0.3657447307260997,0.010958894504220551,1.5955439909904434
4.625985566261621,0.36574479374981944,0.010958721764623286,1.5955461758181637
4.626002514474253,0.36574445760047014,0.010958513644786491,1.5955488081497333
4.626018397584018,0.3657441111090447,0.010958314698031268,1.5955513244700406
4.626029457543423,0.3657440992766846,0.010958204654157241,1.5955527163327858
4.626038543765593,0.3657441445032761,0.010958121071432111,1.5955537735104823
4.626046177768584,0.36574414366903196,0.010958046025968948,1.5955547227081581
4.626051489524675,0.3657441850686397,0.010957999021803097,1.5955553172318384
4.6260567665938535,0.3657442614913712,0.010957956706932184,1.5955558524443472
4.62606123535988,0.3657442981467502,0.010957917389324945,1.595556349746919
4.626065637805924,0.3657441437395116,0.010957854999330136,1.5955571388778393
4.626069962346127,0.36574411432464615,0.010957808894014376,1.595557722035024
4.626072496285388,0.36574406073524224,0.010957777364981588,1.5955581208263006
4.626074276815414,0.3657440556332247,0.010957759252479576,1.5955583499202848
4.626075481421008,0.36574493503262856,0.010957856618598535,1.595557118396741
4.626078645945132,0.36574498492944096,0.01095783174874948,1.5955574329597588
4.626081886212031,0.36574492526559055,0.010957792531703772,1.5955579289917576
4.626084795026801,0.3657448931020445,0.010957759983066542,1.5955583406795344
